NIS,Nama,NIK_Ortu,Alamat,Kota,Sekolah,Kelas,Jurusan,Nilai_Rata2,Email,No_HP_Ortu,Tanggal_Lahir,Prestasi
SIS3000,Ulya Uyainah,2387655772772551,"Jl. Raya Ujungberung No. 35, Prabumulih, JT 70802",Payakumbuh,Perum Kuswoyo Pranowo School,X,IPA,70.96,rahman85@pd.net.id,+62 (0612) 974-2470,2008-02-15,Debat
SIS3001,Pangeran Lailasari,6356960107308193,"Jl. HOS. Cokroaminoto No. 13, Pariaman, AC 56535",Malang,CV Hutasoit Kuswoyo Tbk School,X,Teknik Komputer,68.58,kgunarto@gmail.com,+62-82-227-9225,2007-10-27,Olahraga
SIS3002,Lutfan Marbun,2130506702538323,"Gg. Moch. Ramdan No. 89, Ambon, Sulawesi Tengah 44794",Bengkulu,CV Dongoran Maryadi School,X,Akuntansi,75.09,enugroho@pt.co.id,+62 (0151) 932-5409,2006-05-31,Olahraga
SIS3003,"Dt. Kemba Mustofa, M.M.",3709210936837101,"Gg. Dipenogoro No. 36, Kota Administrasi Jakarta Selatan, Sumatera Utara 06957",Tanjungbalai,Perum Maheswara (Persero) Tbk School,XII,IPA,61.56,asihombing@gmail.com,+62-846-689-6721,2009-03-12,Olahraga
SIS3004,Aris Mandala,2637343855240581,"Gg. Kutai No. 7, Tangerang, KR 29639",Lubuklinggau,UD Prasetya Simbolon Tbk School,XI,IPS,84.73,rudisimanjuntak@cv.net,(042) 346 2688,2010-08-17,Tidak Ada
SIS3005,Laila Puspita,7436524563470164,"Jalan Ciwastra No. 025, Palembang, GO 24029",Padang,Perum Prasetya Hakim School,XII,IPS,73.46,wkusmawati@yahoo.com,+62 (23) 749 1473,2008-12-16,Robotik
SIS3006,"Virman Prastuti, S.Farm",8240713801084904,"Gg. Antapani Lama No. 40, Magelang, BE 51570",Manado,PD Aryani Tampubolon (Persero) Tbk School,X,IPA,86.23,zprabowo@gmail.com,+62 (291) 132-1789,2006-01-08,Olahraga
SIS3007,"Gaman Pertiwi, M.Kom.",7887637535235882,"Jalan Rajawali Barat No. 9, Sorong, Aceh 97534",Pagaralam,UD Waluyo Tbk School,XI,IPS,75.42,ramadanella@hotmail.com,+62 (616) 220 5641,2006-05-17,Olimpiade
SIS3008,R.M. Gandi Gunarto,2029309703058013,"Gg. HOS. Cokroaminoto No. 23, Dumai, Sulawesi Barat 94323",Bengkulu,CV Saefullah Permadi School,XII,IPA,87.26,ophelianasyiah@yahoo.com,081 966 6375,2007-06-01,Tidak Ada
SIS3009,"Prabowo Rajasa, S.E.",4525608102124540,"Jl. M.H Thamrin No. 953, Banjarbaru, Banten 36548",Sibolga,UD Laksita (Persero) Tbk School,XI,Akuntansi,73.62,anggrainibahuwirya@pd.co.id,+62 (0352) 811 2517,2007-06-02,Seni
SIS3010,"Rika Marpaung, S.Psi",1426018535886029,"Gg. Siliwangi No. 12, Payakumbuh, YO 72969",Gorontalo,PT Ramadan Tbk School,XII,Akuntansi,70.43,irahariyah@hotmail.com,+62 (57) 006 1968,2008-08-28,Olimpiade
SIS3011,Maida Wasita,9197143678621408,"Jalan Gardujati No. 571, Langsa, JI 87783",Banda Aceh,PD Setiawan School,XI,IPA,79.84,rahmi86@yahoo.com,(058) 593-3494,2008-10-14,Olimpiade
